+==============+===============+===========================+
| Launch Clock | Capture Clock | Pin                       |
+==============+===============+===========================+
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[434][1]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[902][2]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[902][4]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[274][1]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[743][4]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[466][5]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[850][1]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[882][1]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[874][4]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[626][3]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[250][7]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[535][1]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[250][0]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[702][0]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[731][2]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[971][3]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[882][3]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[274][0]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[874][2]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[902][6]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[507][7]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[723][5]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[670][1]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[890][4]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[774][4]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[723][0]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[731][4]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[507][6]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[535][5]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[882][0]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[395][7]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[971][4]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[434][4]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[858][0]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[731][7]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[918][1]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[723][2]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[918][5]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[918][4]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[971][5]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[934][1]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[890][0]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[890][2]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[882][2]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[274][4]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[842][2]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[918][6]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[731][1]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[902][1]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[827][3]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[617][4]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[774][3]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[434][2]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[731][3]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[507][3]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[507][4]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[723][6]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[723][4]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[731][0]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[850][3]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[434][6]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[599][6]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[254][7]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[918][3]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[214][4]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[395][4]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[494][6]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[535][7]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[874][5]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[434][5]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[842][4]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[670][3]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[406][4]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[739][3]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[719][2]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[882][4]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[507][5]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[850][5]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[934][5]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[206][6]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[274][7]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[842][5]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[890][5]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[570][5]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[617][2]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[395][2]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[731][5]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[629][5]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[507][1]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[607][5]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[667][7]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[827][4]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[586][7]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[406][3]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[874][3]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[858][5]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[395][0]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[510][6]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[458][5]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[858][6]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[950][4]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[858][4]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[850][4]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[626][7]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[250][3]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[874][7]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[402][5]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[774][6]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[506][7]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[719][0]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[510][4]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[890][3]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[894][5]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[910][3]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[842][0]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[727][0]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[607][2]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[430][2]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[598][6]/D  |
